subject_category	subject_id	subject_label	subject_type	predicate_id	object_id	object_label	object_type	confidence	comment	mapping_justification	mapping_date	creator_id
Common Properties	spase:ResourceHeader/spase:RevisionHistory/spase:RevisionEvent/spase:ReleaseDate	RevisionEvent	xsd:dateTime	skos:narrowMatch	schema:datePublished	datePublished	schema:Date schema:DateTime		If spase:ResourceHeader/spase:PublicationInfo/spase:PublicationDate is empty, pull the information from the mapping indicated on this row. The logic should pull the earliest ReleaseDate in RevisionHistory/RevisionEvent if there is no entry in the PublicationDate field. If there are also no RevisionHistory entries, then it defaults to the ReleaseDate field.		May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-0994
Common Properties	spase:ResourceHeader/spase:ReleaseDate	ReleaseDate	xsd:dateTime	skos:narrowMatch	schema:datePublished	datePublished	schema:Date schema:DateTime		If spase:ResourceHeader/spase:PublicationInfo/spase:PublicationDate is empty, pull the information from the mapping indicated on this row. The logic should pull the earliest ReleaseDate in RevisionHistory/RevisionEvent if there is no entry in the PublicationDate field. If there are also no RevisionHistory entries, then it defaults to the ReleaseDate field.		May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-0995
Common Properties	spase:ResourceHeader/spase:Description	Description	xsd:string	skos:exactMatch	schema:description	description	schema:Text	1		semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-0996
Distributions	sssom:NoMapping			skos:exactMatch	schema:distribution/schema:@type	@type	schema:DataDownload	1	Determined based on field name. This field is only populated if the URL is a direct access to download data (e.g., has a .cdf file extension or something similar).	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-0997
Distributions	spase:AccessInformation/spase:AccessURL/spase:URL	URL		skos:exactMatch	schema:distribution/schema:contentUrl	contentUrl	schema:URL	1	This field is only populated if the URL is a direct access to download data (e.g., has a .cdf file extension or something similar).	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-0998
Distributions	sssom:NoMapping			skos:exactMatch	schema:distribution/schema:encodingFormat	encodingFormat	schema:Text	1	Determined based on file extension. This field is only populated if the URL is a direct access to download data (e.g., has a .cdf file extension or something similar).	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-0999
Funding	sssom:NoMapping			skos:exactMatch	schema:funding/schema:@type	@type	schema:MonetaryGrant	1	Determined based on field name	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-1000
Funding	sssom:NoMapping			skos:exactMatch	schema:funding/schema:funder/schema:@type	@type	schema:Organization	1	Determined based on field name	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-1001
Funding	spase:ResourceHeader/spase:Agency	Agency	xsd:string	skos:exactMatch	schema:funding/schema:funder/schema:name	name	schema:Text	1		semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-1002
Funding	spase:ResourceHeader/spase:AwardNumber	AwardNumber	xsd:string	skos:exactMatch	schema:funding/schema:identifier	identifier	schema:URL schema:Text	1		semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-1003
Funding	spase:ResourceHeader/spase:Project	Project	xsd:string	skos:exactMatch	schema:funding/schema:name	name	schema:Text	1		semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-1004
Identifier	sssom:NoMapping			skos:exactMatch	schema:identifier/schema:@list/schema:@type	@type	schema:PropertyValue	1	The DOI is mapped first.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-1005
Identifier	sssom:NoMapping			skos:exactMatch	schema:identifier/schema:@list/schema:propertyID	propertyID	schema:URL	1	For DOIs, always equal to "https://registry.identifiers.org/registry/doi"	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-1006
Identifier	spase:ResourceHeader/spase:DOI	DOI		skos:exactMatch	schema:identifier/schema:@list/schema:url	url	schema:URL	1	The DOI is mapped first.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-1007
Identifier	spase:ResourceHeader/spase:DOI	DOI		skos:exactMatch	schema:identifier/schema:@list/schema:value	value	schema:Text	1	The DOI is mapped first.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-1008
Identifier	sssom:NoMapping			skos:exactMatch	schema:identifier/schema:@list/schema:@type	@type	schema:PropertyValue	1	beginning the section for the landing page url (hpde.io link)	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-1009
Identifier	sssom:NoMapping			skos:exactMatch	schema:identifier/schema:@list/schema:propertyID	propertyID	schema:Text	1	Always = "SPASE"	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-1010
Identifier	spase:ResourceID	ResourceID	xsd:string	skos:narrowMatch	schema:identifier/schema:@list/schema:url	url	schema:URL	1	The ResourceID is also extracted and mapped into the identifier object. Converted to a URL by removing "spase:/" and adding "https://hpde.io"	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-1011
Identifier	spase:ResourceID	ResourceID	xsd:string	skos:exactMatch	schema:identifier/schema:@list/schema:value	value	schema:Text	1	The ResourceID is also extracted and mapped into the identifier object. No conversions for this field	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-1012
Common Properties	sssom:NoMapping			skos:exactMatch	schema:inLanguage	inLanguage	schema:Text	1	Determined manually per SPASE repository, usually English.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-1013
Provenance Relationships	spase:ResourceHeader/spase:DOI	DOI		skos:exactMatch	schema:isBasedOn/schema:@id	@id	schema:URL	1	If the value of spase:ResourceHeader/spase:Association/spase:AssociationType = ["DerivedFrom" or "ChildEventOf"], the DOI of the related item is extracted from the SPASE record indicated in the spase:Association/spase:AssociationID field.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-1014
Provenance Relationships	spase:ResourceHeader/spase:Association/spase:AssociationID	AssociationID	xsd:string	skos:narrowMatch	schema:isBasedOn/schema:@id	@id	schema:URL	1	If the value of spase:ResourceHeader/spase:Association/spase:AssociationType = ["DerivedFrom" or "ChildEventOf"] AND no DOI for the item is found, the spase:ResourceID value is converted to a URL by removing "spase:/" and adding "https://hpde.io". 	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-1015
Provenance Relationships	sssom:NoMapping			skos:exactMatch	schema:isBasedOn/schema:@type	@type	schema:Dataset	1		semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-1016
Provenance Relationships	sssom:NoMapping			skos:exactMatch	schema:isBasedOn/schema:creator/schema:@list/schema:@type	@type	schema:Person	1	Information about the referenced dataset is extracted from the indicated field in the SPASE record for that dataset. See the creator and contributors mapping above for more info about the related logic.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-1017
Provenance Relationships	spase:Contact/spase:PersonId	PersonID	xsd:string	skos:exactMatch	schema:isBasedOn/schema:creator/schema:@list/schema:name	name	schema:Text	1	Information about the referenced dataset is extracted from the indicated field in the SPASE record for that dataset. See the creator and contributors mapping above for more info about the related logic.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-1018
Provenance Relationships	spase:Contact/spase:PersonId	PersonID	xsd:string	skos:narrowMatch	schema:isBasedOn/schema:creator/schema:@list/schema:givenName	givenName	schema:Text	1	Information about the referenced dataset is extracted from the indicated field in the SPASE record for that dataset. See the creator and contributors mapping above for more info about the related logic.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-1019
Provenance Relationships	spase:Contact/spase:PersonId	PersonID	xsd:string	skos:narrowMatch	schema:isBasedOn/schema:creator/schema:@list/schema:familyName	familyName	schema:Text	1	Information about the referenced dataset is extracted from the indicated field in the SPASE record for that dataset. See the creator and contributors mapping above for more info about the related logic.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-1020
Provenance Relationships	sssom:NoMapping			skos:exactMatch	schema:isBasedOn/schema:creator/schema:@list/schema:affiliation/schema:@type	@type	schema:Organization	1	Information about the referenced dataset is extracted from the indicated field in the SPASE record for that dataset. See the creator and contributors mapping above for more info about the related logic.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-1021
Provenance Relationships	spase:OrganizationName	OrganizationName	xsd:string	skos:exactMatch	schema:isBasedOn/schema:creator/schema:@list/schema:affiliation/schema:name	name	schema:Text	1	Information about the referenced dataset is extracted from the indicated field in the SPASE record for that dataset. See the creator and contributors mapping above for more info about the related logic.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-1022
Provenance Relationships	spase:ResourceHeader/spase:Description	Description	xsd:string	skos:exactMatch	schema:isBasedOn/schema:description	description	schema:Text	1	Information about the referenced dataset is extracted from the indicated field in the SPASE record for that dataset. 	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-1023
Provenance Relationships	spase:AccessInformation/spase:RightsList/spase:Rights/spase:rightsURI	rightsURI		skos:exactMatch	schema:isBasedOn/schema:license	license	schema:URL	1	Information about the referenced dataset is extracted from the indicated field in the SPASE record for that dataset. 	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-1024
Provenance Relationships	spase:ResourceHeader/spase:ResourceName	ResourceName	xsd:string	skos:exactMatch	schema:isBasedOn/schema:name	name	schema:Text	1	Information about the referenced dataset is extracted from the indicated field in the SPASE record for that dataset.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-1025
Provenance Relationships	datacite:creators/datacite:name	name	xsd:string	skos:exactMatch	schema:isBasedOn/schema:creator/schema:@list/schema:name	name	schema:Text	1	If no SPASE record exists for the indicated dataset, then the information is extracted from the DataCite API with the mapping indicated. No extraction is attempted for datasets without SPASE records or DataCite DOIs.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-1026
Provenance Relationships	datacite:creators/datacite:givenName	givenName	xsd:string	skos:exactMatch	schema:isBasedOn/schema:creator/schema:@list/schema:givenName	givenName	schema:Text	1	If no SPASE record exists for the indicated dataset, then the information is extracted from the DataCite API with the mapping indicated. The entry if pulled from datacite:givenName and datacite:familyName if they are populated in DataCite record; else, split the datacite:name field by the comma to get these values. No extraction is attempted for datasets without SPASE records or DataCite DOIs.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-1027
Provenance Relationships	datacite:creators/datacite:name	name	xsd:string	skos:broadMatch	schema:isBasedOn/schema:creator/schema:@list/schema:givenName	givenName	schema:Text	1	If no SPASE record exists for the indicated dataset, then the information is extracted from the DataCite API with the mapping indicated. The entry if pulled from datacite:givenName and datacite:familyName if they are populated in DataCite record; else, split the datacite:name field by the comma to get these values. No extraction is attempted for datasets without SPASE records or DataCite DOIs.		May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, https://orcid.org/0009-0001-1714-839X, https://orcid.org/0009-0006-6661-1028
