subject_category	subject_id	subject_label	subject_type	predicate_id	object_id	object_label	object_type	confidence	comment	mapping_justification	mapping_date	creator_id
Collections of Datasets	schema:includedInDataCatalog/schema:DataCatalog/schema:sameAs	sameAs	schema:URL	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-08-23	https://orcid.org/0000-0003-2261-9931
Collections of Datasets	schema:includedInDataCatalog/schema:DataCatalog/schema:name	name	schema:Text	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-08-23	https://orcid.org/0000-0003-2261-9931
Collections of Datasets	schema:includedInDataCatalog/schema:DataCatalog/schema:description	description	schema:Text	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-08-23	https://orcid.org/0000-0003-2261-9931
Metadata	schema:subjectOf/schema:DataDownload/schema:name	name	schema:Text	skos:exactMatch	sssom:NoMapping			1	No match can be found.  Note this property can be defined as "EML metadata for dataset"	semapv:ManualMappingCuration	2023-08-24	https://orcid.org/0000-0003-2261-9931
Metadata	schema:subjectOf/schema:DataDownload/schema:description	description	schema:Text	skos:exactMatch	sssom:NoMapping			1	No match can be found.  Note this property can be defined as "EML metadata describing the dataset"	semapv:ManualMappingCuration	2023-08-24	https://orcid.org/0000-0003-2261-9931
Metadata	schema:subjectOf/schema:DataDownload/schema:description/schema:encodingFormat	encodingFormat	schema:Text schema:URL	skos:exactMatch	sssom:NoMapping			1	No match can be found.  Note, this property can be created as a list with the first value being "application/xml" and the second value being the EML namespace declared in the file header's "xmlns:eml" attribute.	semapv:ManualMappingCuration	2023-08-24	https://orcid.org/0000-0003-2261-9931
Metadata	schema:subjectOf/schema:DataDownload/schema:description/schema:contentUrl	contentUrl	schema:URL	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-08-24	https://orcid.org/0000-0003-2261-9931
Metadata	schema:subjectOf/schema:DataDownload/schema:description/schema:dateModified	dateModified	schema:Date schema:DateTime	skos:exactMatch	res:pubDate	pubDate	res:yearDate	1	Definitions and types match.	semapv:ManualMappingCuration	2023-08-24	https://orcid.org/0000-0003-2261-9931
Distributions	schema:distribution/schema:DataDownload/schema:name	name	schema:Text	skos:exactMatch	ent:entityName	entityName	res:NonEmptyStringType	1	Definitions and types match.	semapv:ManualMappingCuration	2023-08-25	https://orcid.org/0000-0003-2261-9931
Distributions	schema:distribution/schema:DataDownload/schema:description	description	schema:Text	skos:exactMatch	ent:entityDescription	entityDescription	res:NonEmptyStringType	1	Definitions and types match.	semapv:ManualMappingCuration	2023-08-25	https://orcid.org/0000-0003-2261-9931
Distributions	schema:distribution/schema:DataDownload/schema:contentUrl	contentUrl	schema:URL	skos:broadMatch	phys:url	url	res:UrlType	1	Definitions match but object type is broader.  An exact match between the subject and object is formed when the object's "function" attribute (/element(*,PhysicalType)/distribution/online/url/@function) has a value of "download". See: https://eml.ecoinformatics.org/schema/eml-resource_xsd.html#OnlineType_url	semapv:ManualMappingCuration	2023-08-25	https://orcid.org/0000-0003-2261-9931
Distributions	schema:distribution/schema:DataDownload/schema:encodingFormat	encodingFormat	schema:Text schema:URL	skos:exactMatch	sssom:NoMapping			0.75	No match can be found.  There is no single field that lists the format type for a data object in the EML standard. Rather, EML offers a choice of four data types within which properties provide information for a user to download and parse it.	semapv:ManualMappingCuration	2023-03-21	https://orcid.org/0000-0003-2261-9931
Distributions	schema:distribution/schema:DataDownload/schema:contentSize	contentSize	schema:Text	skos:exactMatch	phys:size	size	xs:string	1	Definitions and types match.  Note, the unit (mega/kilo)bytes may be obtained from the phys:unit attribute.	semapv:ManualMappingCuration	2023-08-25	https://orcid.org/0000-0003-2261-9931
Distributions	schema:distribution/schema:DataDownload/spdx:checksum/spdx:Checksum/spdx:checksumValue	checksumValue	schema:Text	skos:exactMatch	phys:authentication	authentication	xs:string	1	Definitions and types match.	semapv:ManualMappingCuration	2023-08-25	https://orcid.org/0000-0003-2261-9931
Distributions	schema:distribution/schema:DataDownload/spdx:checksum/spdx:Checksum/spdx:algorithm	algorithm	schema:URL	skos:broadMatch	phys:method	method	xs:string	1	Definitions match but object type is broader.	semapv:ManualMappingCuration	2023-08-25	https://orcid.org/0000-0003-2261-9931
Distributions	schema:potentialAction	potentialAction	schema:Action	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-08-25	https://orcid.org/0000-0003-2261-9931
Dates	schema:dateCreated	dateCreated	schema:Date schema:DateTime	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-08-26	https://orcid.org/0000-0003-2261-9931
Dates	schema:dateModified	dateModified	schema:Date schema:DateTime	skos:exactMatch	res:pubDate	pubDate	res:yearDate	1	Definitions and types match.	semapv:ManualMappingCuration	2023-08-26	https://orcid.org/0000-0003-2261-9931
Dates	schema:datePublished	datePublished	schema:Date schema:DateTime	skos:exactMatch	res:pubDate	pubDate	res:yearDate	1	Definitions and types match.	semapv:ManualMappingCuration	2023-08-26	https://orcid.org/0000-0003-2261-9931
