subject_category	subject_id	subject_label	subject_type	predicate_id	object_id	object_label	object_type	confidence	comment	mapping_justification	mapping_date	creator_id	creator_names
Funding	spase:ResourceHeader/spase:Project	Project	xsd:string	skos:exactMatch	schema:funding/schema:name	name	schema:Text	1		semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Identifier	sssom:NoMapping			skos:exactMatch	schema:identifier/schema:@list/schema:@type	@type	schema:PropertyValue	1	The DOI is mapped first.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Identifier	sssom:NoMapping			skos:exactMatch	schema:identifier/schema:@list/schema:propertyID	propertyID	schema:URL	1	For DOIs, always equal to "https://registry.identifiers.org/registry/doi"	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Identifier	spase:ResourceHeader/spase:DOI	DOI		skos:exactMatch	schema:identifier/schema:@list/schema:url	url	schema:URL	1	The DOI is mapped first.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Identifier	spase:ResourceHeader/spase:DOI	DOI		skos:exactMatch	schema:identifier/schema:@list/schema:value	value	schema:Text	1	The DOI is mapped first.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Identifier	sssom:NoMapping			skos:exactMatch	schema:identifier/schema:@list/schema:@type	@type	schema:PropertyValue	1	beginning the section for the landing page url (hpde.io link)	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Identifier	sssom:NoMapping			skos:exactMatch	schema:identifier/schema:@list/schema:propertyID	propertyID	schema:Text	1	Always = "SPASE"	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Identifier	spase:ResourceID	ResourceID	xsd:string	skos:narrowMatch	schema:identifier/schema:@list/schema:url	url	schema:URL	1	The ResourceID is also extracted and mapped into the identifier object. Converted to a URL by removing "spase:/" and adding "https://hpde.io"	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Identifier	spase:ResourceID	ResourceID	xsd:string	skos:exactMatch	schema:identifier/schema:@list/schema:value	value	schema:Text	1	The ResourceID is also extracted and mapped into the identifier object. No conversions for this field	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Common Properties	sssom:NoMapping			skos:exactMatch	schema:inLanguage	inLanguage	schema:Text	1	Determined manually per SPASE repository, usually English.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Provenance Relationships	spase:ResourceHeader/spase:DOI	DOI		skos:exactMatch	schema:isBasedOn/schema:@id	@id	schema:URL	1	If the value of spase:ResourceHeader/spase:Association/spase:AssociationType = ["DerivedFrom" or "ChildEventOf"], the DOI of the related item is extracted from the SPASE record indicated in the spase:Association/spase:AssociationID field.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Provenance Relationships	spase:ResourceHeader/spase:Association/spase:AssociationID	AssociationID	xsd:string	skos:narrowMatch	schema:isBasedOn/schema:@id	@id	schema:URL	1	If the value of spase:ResourceHeader/spase:Association/spase:AssociationType = ["DerivedFrom" or "ChildEventOf"] AND no DOI for the item is found, the spase:ResourceID value is converted to a URL by removing "spase:/" and adding "https://hpde.io". 	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Provenance Relationships	sssom:NoMapping			skos:exactMatch	schema:isBasedOn/schema:@type	@type	schema:Dataset	1		semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Provenance Relationships	sssom:NoMapping			skos:exactMatch	schema:isBasedOn/schema:creator/schema:@list/schema:@type	@type	schema:Person	1	Information about the referenced dataset is extracted from the indicated field in the SPASE record for that dataset. See the creator and contributors mapping above for more info about the related logic.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Provenance Relationships	spase:Contact/spase:PersonId	PersonID	xsd:string	skos:exactMatch	schema:isBasedOn/schema:creator/schema:@list/schema:name	name	schema:Text	1	Information about the referenced dataset is extracted from the indicated field in the SPASE record for that dataset. See the creator and contributors mapping above for more info about the related logic.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Provenance Relationships	spase:Contact/spase:PersonId	PersonID	xsd:string	skos:narrowMatch	schema:isBasedOn/schema:creator/schema:@list/schema:givenName	givenName	schema:Text	1	Information about the referenced dataset is extracted from the indicated field in the SPASE record for that dataset. See the creator and contributors mapping above for more info about the related logic.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Provenance Relationships	spase:Contact/spase:PersonId	PersonID	xsd:string	skos:narrowMatch	schema:isBasedOn/schema:creator/schema:@list/schema:familyName	familyName	schema:Text	1	Information about the referenced dataset is extracted from the indicated field in the SPASE record for that dataset. See the creator and contributors mapping above for more info about the related logic.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Provenance Relationships	sssom:NoMapping			skos:exactMatch	schema:isBasedOn/schema:creator/schema:@list/schema:affiliation/schema:@type	@type	schema:Organization	1	Information about the referenced dataset is extracted from the indicated field in the SPASE record for that dataset. See the creator and contributors mapping above for more info about the related logic.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Provenance Relationships	spase:OrganizationName	OrganizationName	xsd:string	skos:exactMatch	schema:isBasedOn/schema:creator/schema:@list/schema:affiliation/schema:name	name	schema:Text	1	Information about the referenced dataset is extracted from the indicated field in the SPASE record for that dataset. See the creator and contributors mapping above for more info about the related logic.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Provenance Relationships	spase:ResourceHeader/spase:Description	Description	xsd:string	skos:exactMatch	schema:isBasedOn/schema:description	description	schema:Text	1	Information about the referenced dataset is extracted from the indicated field in the SPASE record for that dataset. 	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Provenance Relationships	spase:AccessInformation/spase:RightsList/spase:Rights/spase:rightsURI	rightsURI		skos:exactMatch	schema:isBasedOn/schema:license	license	schema:URL	1	Information about the referenced dataset is extracted from the indicated field in the SPASE record for that dataset. 	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Provenance Relationships	spase:ResourceHeader/spase:ResourceName	ResourceName	xsd:string	skos:exactMatch	schema:isBasedOn/schema:name	name	schema:Text	1	Information about the referenced dataset is extracted from the indicated field in the SPASE record for that dataset.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Provenance Relationships	datacite:creators/datacite:name	name	xsd:string	skos:exactMatch	schema:isBasedOn/schema:creator/schema:@list/schema:name	name	schema:Text	1	If no SPASE record exists for the indicated dataset, then the information is extracted from the DataCite API with the mapping indicated. No extraction is attempted for datasets without SPASE records or DataCite DOIs.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Provenance Relationships	datacite:creators/datacite:givenName	givenName	xsd:string	skos:exactMatch	schema:isBasedOn/schema:creator/schema:@list/schema:givenName	givenName	schema:Text	1	If no SPASE record exists for the indicated dataset, then the information is extracted from the DataCite API with the mapping indicated. The entry if pulled from datacite:givenName and datacite:familyName if they are populated in DataCite record; else, split the datacite:name field by the comma to get these values. No extraction is attempted for datasets without SPASE records or DataCite DOIs.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Provenance Relationships	datacite:creators/datacite:name	name	xsd:string	skos:broadMatch	schema:isBasedOn/schema:creator/schema:@list/schema:givenName	givenName	schema:Text	1	If no SPASE record exists for the indicated dataset, then the information is extracted from the DataCite API with the mapping indicated. The entry if pulled from datacite:givenName and datacite:familyName if they are populated in DataCite record; else, split the datacite:name field by the comma to get these values. No extraction is attempted for datasets without SPASE records or DataCite DOIs.		May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	
Provenance Relationships	datacite:creators/datacite:familyName	familyName	xsd:string	skos:exactMatch	schema:isBasedOn/schema:creator/schema:@list/schema:familyName	familyName	schema:Text	1	If no SPASE record exists for the indicated dataset, then the information is extracted from the DataCite API with the mapping indicated. The entry is pulled from datacite:givenName and datacite:familyName if they are populated in DataCite record; else, split the datacite:name field by the comma to get these values. No extraction is attempted for datasets without SPASE records or DataCite DOIs.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Provenance Relationships	datacite:creators/datacite:name	name	xsd:string	skos:broadMatch	schema:isBasedOn/schema:creator/schema:@list/schema:familyName	familyName	schema:Text	1	If no SPASE record exists for the indicated dataset, then the information is extracted from the DataCite API with the mapping indicated. The entry is pulled from datacite:givenName and datacite:familyName if they are populated in DataCite record; else, split the datacite:name field by the comma to get these values. No extraction is attempted for datasets without SPASE records or DataCite DOIs.		May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	
Provenance Relationships	datacite:creators/datacite:affiliation/datacite:name	name	xsd:string	skos:exactMatch	schema:isBasedOn/schema:creator/schema:@list/schema:affiliation/schema:name	name	schema:Text	1	If no SPASE record exists for the indicated dataset, then the information is extracted from the DataCite API with the mapping indicated. The entry is pulled from datacite:givenName and datacite:familyName if they are populated in DataCite record; else, split the datacite:name field by the comma to get these values. No extraction is attempted for datasets without SPASE records or DataCite DOIs.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Provenance Relationships	datacite:descriptions/datacite:description	description	xsd:string	skos:exactMatch	schema:isBasedOn/schema:description	description	schema:Text	1	If no SPASE record exists for the indicated dataset, then the information is extracted from the DataCite API with the mapping indicated. No extraction is attempted for datasets without SPASE records or DataCite DOIs.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Provenance Relationships	datacite:rights/datacite:rightsURI	rightsURI		skos:exactMatch	schema:isBasedOn/schema:license	license	schema:URL	1	If no SPASE record exists for the indicated dataset, then the information is extracted from the DataCite API with the mapping indicated. No extraction is attempted for datasets without SPASE records or DataCite DOIs.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Provenance Relationships	datacite:titles/datacite:title	title	xsd:string	skos:exactMatch	schema:isBasedOn/schema:name	name	schema:Text	1	If no SPASE record exists for the indicated dataset, then the information is extracted from the DataCite API with the mapping indicated. No extraction is attempted for datasets without SPASE records or DataCite DOIs.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Provenance Relationships	spase:ResourceHeader/spase:DOI	DOI		skos:exactMatch	schema:isBasedOn/schema:identifier	identifier	schema:URL	1	If the value of spase:ResourceHeader/spase:Association/spase:AssociationType = ["DerivedFrom" or "ChildEventOf"], the DOI of the related item is extracted from the SPASE record indicated in the spase:Association/spase:AssociationID field.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Provenance Relationships	spase:ResourceHeader/spase:Association/spase:AssociationID	AssociationID	xsd:string	skos:narrowMatch	schema:isBasedOn/schema:identifier	identifier	schema:URL	1	If the value of spase:ResourceHeader/spase:Association/spase:AssociationType = ["DerivedFrom" or "ChildEventOf"] AND no DOI for the item is found, the spase:ResourceID value is converted to a URL by removing "spase:/" and adding "https://hpde.io". 	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Provenance Relationships	spase:ResourceHeader/spase:DOI	DOI		skos:exactMatch	schema:isPartOf/schema:@id	@id	schema:URL	1	If the value of spase:ResourceHeader/spase:Association/spase:AssociationType = PartOf, the DOI of the related item is extracted from the SPASE record indicated in the spase:Association/spase:AssociationID field.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Provenance Relationships	spase:ResourceHeader/spase:Association/spase:AssociationID	AssociationID	xsd:string	skos:narrowMatch	schema:isPartOf/schema:@id	@id	schema:URL	1	If the value of spase:ResourceHeader/spase:Association/spase:AssociationType = PartOf AND no DOI for the item is found, the spase:ResourceID value is converted to a URL by removing "spase:/" and adding "https://hpde.io". 	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Provenance Relationships	sssom:NoMapping			skos:exactMatch	schema:isPartOf/schema:@type	@type	schema:Dataset	1		semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Provenance Relationships	sssom:NoMapping			skos:exactMatch	schema:isPartOf/schema:creator/schema:@list/schema:@type	@type	schema:Person	1	Information about the referenced dataset is extracted from the indicated field in the SPASE record for that dataset. See the creator and contributors mapping above for more info about the related logic.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Provenance Relationships	spase:Contact/spase:PersonId	PersonID	xsd:string	skos:exactMatch	schema:isPartOf/schema:creator/schema:@list/schema:name	name	schema:Text	1	Information about the referenced dataset is extracted from the indicated field in the SPASE record for that dataset. See the creator and contributors mapping above for more info about the related logic.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
Provenance Relationships	spase:Contact/spase:PersonId	PersonID	xsd:string	skos:narrowMatch	schema:isPartOf/schema:creator/schema:@list/schema:givenName	givenName	schema:Text	1	Information about the referenced dataset is extracted from the indicated field in the SPASE record for that dataset. See the creator and contributors mapping above for more info about the related logic.	semapv:ManualMappingCuration	May 13, 2025	https://orcid.org/0000-0003-0875-2023, https://orcid.org/0009-0005-1686-262X, https://orcid.org/0000-0001-7915-5571, https://orcid.org/0000-0003-1398-1752, (Tressa Helvey-Kasulke), https://orcid.org/0009-0006-6661-0938, https://orcid.org/0000-0003-2261-9931	Rebecca Ringuette, Zach Boquet, Baptiste Cecconi, Andriy Koval, Tressa Helvey-Kasulke, Catherine Byrd, Colin Smith
